Threads,Time Taken 1,Time Taken 2,Time Taken 3,Time Taken 4,Time Taken 5,Average Time,Speedup,Efficiency
1,0.165247,0.160578,0.162453,0.167305,0.160723,0.163261,1.000000,1.000000
2,0.827043,0.732145,0.734969,0.655984,0.479199,0.685868,0.238036,0.119018
4,0.673644,0.563701,0.296626,0.371209,0.617020,0.504440,0.323648,0.080912
8,0.918933,0.380737,0.871743,0.963224,1.310912,0.889110,0.183623,0.022953
16,1.466340,1.446840,1.427866,1.451943,1.435900,1.445778,0.112923,0.007058
32,1.501399,1.557978,1.460619,1.473729,1.430892,1.484923,0.109946,0.003436
64,1.565516,1.574779,1.616475,1.623874,1.627677,1.601664,0.101932,0.001593
128,1.659441,1.660046,1.606931,1.707596,1.724860,1.671775,0.097657,0.000763
256,1.665700,1.650209,1.660622,1.651676,1.708098,1.667261,0.097922,0.000383
512,1.492990,1.539421,1.565977,1.629511,1.548972,1.555374,0.104966,0.000205
1024,1.335642,1.311301,1.237107,1.342487,1.360682,1.317444,0.123923,0.000121
2048,1.039693,1.167534,0.984060,0.959429,0.968192,1.023782,0.159469,0.000078
4096,1.047800,1.042700,1.071080,1.018121,1.060846,1.048109,0.155767,0.000038
